gene_id	s001_Line1_0g_repeat	s002_Line1_0g_repeat	s003_Line1_0g_repeat	s004_Line1_1g_repeat	s005_Line1_1g_repeat	s006_Line1_1g_repeat	s007_Line1_ground_repeat	s008_Line1_ground_repeat	s009_Line1_ground_repeat
ENSG00000007255	574	788	992	668	1086	1044	1083	1221	1677
ENSG00000007264	1	0	2	0	8	1	0	0	6
ENSG00000007306	0	0	0	2	0	0	0	0	0
ENSG00000007312	4	0	0	2	0	8	8	0	4
ENSG00000007314	1	26	21	11	0	1	19	0	69
ENSG00000007341	208	291	450	299	334	415	268	301	352
ENSG00000007350	0	0	0	0	0	0	0	0	0
ENSG00000007372	12	6	8	15	8	12	15	26	14
ENSG00000007376	708	969	1576	947	1639	1588	883	676	1179
ENSG00000007384	614	860	1119	809	1725	1115	839	585	992
ENSG00000007392	278	531	549	516	766	475	565	457	753
ENSG00000007402	72	158	111	58	147	55	208	209	280
ENSG00000007516	23	21	4	147	17	166	52	0	75
ENSG00000007520	1125	1653	2097	1474	3381	2180	1804	1555	2823
ENSG00000007541	699	961	1256	490	1527	1104	1216	768	1348
ENSG00000007545	68	99	89	167	82	149	114	91	115
ENSG00000007866	1558	2082	3034	1075	3054	1950	2420	1634	2309
ENSG00000007908	0	0	0	2	0	0	0	0	0
ENSG00000007923	1242	1863	2491	1010	2654	1903	1941	1617	2615
ENSG00000007933	0	0	0	0	0	1	0	0	0
ENSG00000007944	219	309	470	391	663	471	1172	923	1991
ENSG00000007952	10	5	26	7	15	17	12	37	34
ENSG00000007968	17	68	35	30	73	80	19	14	30
ENSG00000008018	6316	8918	11859	8894	12469	12745	8663	8125	10505
ENSG00000008056	84	119	142	47	127	196	151	137	144
ENSG00000008083	190	306	384	267	492	579	932	446	1084
ENSG00000008086	41	95	49	58	114	174	79	18	89
ENSG00000008118	60	49	68	59	105	64	89	65	26
ENSG00000008128	12	28	8	22	28	19	3	17	8
ENSG00000008130	567	827	1146	816	1781	1164	1453	1015	1684
ENSG00000008196	0	0	1	2	0	1	0	1	0
ENSG00000008197	0	0	0	1	0	0	0	0	0
ENSG00000008226	0	3	3	1	11	1	12	2	0
ENSG00000008256	286	483	652	290	634	457	474	378	679
ENSG00000008277	47	68	88	39	24	11	84	112	230
ENSG00000008282	1935	2798	3650	2191	2840	3240	2748	2405	3205
ENSG00000008283	114	144	275	86	162	241	212	140	186
ENSG00000008294	467	533	1013	660	1025	745	848	511	1068
ENSG00000008300	41	137	46	54	80	6	22	80	90
ENSG00000008311	148	254	450	180	376	109	607	602	649
ENSG00000008323	6	30	87	27	37	28	41	26	136
ENSG00000008324	213	310	394	471	427	499	264	321	397
ENSG00000008382	76	59	93	46	120	134	173	152	240
ENSG00000008394	2750	3923	5186	1819	4753	3308	3914	3215	4201
ENSG00000008405	863	1356	1679	887	1344	1211	1795	1158	2088
ENSG00000008438	0	4	0	0	0	0	0	0	0
ENSG00000008441	0	0	0	3	0	0	0	0	0
ENSG00000008513	658	1242	1456	727	2035	1090	1822	1470	3062
ENSG00000008516	5	10	8	5	13	23	2	4	5
ENSG00000008517	9	2	4	18	19	26	15	19	14
ENSG00000008710	163	353	335	246	357	368	150	119	276
ENSG00000008735	21	22	43	32	14	59	14	20	36
ENSG00000008838	1979	2582	4401	1707	4743	2893	3447	2290	4059
ENSG00000008853	722	967	1581	555	1857	909	1597	1163	1905
ENSG00000008869	443	439	976	301	647	610	536	486	672
ENSG00000008952	1410	1990	2788	1976	2903	2005	2252	2356	2558
ENSG00000008988	1215	1859	2281	1851	3584	3005	1379	1214	1661
ENSG00000009307	6715	10454	15227	7847	15726	10489	14500	11369	17439
ENSG00000009335	802	1013	1653	1151	1509	1432	1751	1123	2254
ENSG00000009413	340	589	865	450	682	635	825	829	1297
ENSG00000009694	0	0	5	5	27	1	0	2	7
ENSG00000009709	0	0	2	3	0	1	0	0	0
ENSG00000009724	1	0	2	1	14	1	4	4	0
ENSG00000009765	0	0	1	1	0	1	0	0	0
ENSG00000009780	88	78	203	152	229	193	256	159	141
ENSG00000009790	4	12	13	0	0	0	5	2	7
ENSG00000009830	465	820	944	563	1013	666	670	619	966
ENSG00000009844	2724	3624	6328	3720	5716	5710	4900	4086	5598
ENSG00000009950	0	0	2	13	1	1	3	2	1
ENSG00000009954	1039	1798	2417	1415	2648	1966	1993	1545	2348
ENSG00000010017	487	675	1047	475	769	748	1099	932	1202
ENSG00000010030	0	3	5	4	5	7	0	0	0
ENSG00000010072	461	618	769	379	823	641	802	544	782
ENSG00000010165	601	832	1088	811	1427	1454	1274	814	1402
ENSG00000010219	237	409	524	332	509	479	257	325	368
ENSG00000010244	1561	2011	3186	1997	3104	2974	2845	2289	4135
ENSG00000010256	14745	21594	31143	13099	31471	25766	26045	21169	35938
ENSG00000010270	2148	3243	4723	3105	4442	4169	2381	1960	3267
